system:index,city_id,countryCode,mean,.geo
000000000000000003cf,392,AND,278.24242371409514,
000000000000000000df,810,ARE,37.42905410343631,
00000000000000000252,12,ARE,37.42905360054921,
00000000000000000314,205,ARG,13425.143625867857,
00000000000000000076,705,AUS,627.97035702584,
000000000000000000ac,759,AUS,2925.4151721347534,
000000000000000000d0,795,AUS,76.01606502159065,
00000000000000000113,855,AUS,0.49193039641057623,
0000000000000000016b,943,AUS,50.34960542345528,
0000000000000000020d,1105,AUS,1588.094036115344,
0000000000000000020f,1107,AUS,,
00000000000000000210,1108,AUS,0.6538539449676931,
0000000000000000022c,1136,AUS,3726.704474040681,
0000000000000000022d,1137,AUS,1041.4288539903164,
0000000000000000022e,1138,AUS,267.6269805424285,
0000000000000000023d,1153,AUS,0.6337831192799273,
00000000000000000256,16,AUS,1737.3649060526484,
00000000000000000332,235,AUS,583.5729573137079,
00000000000000000357,272,AUS,0.03802121656172186,
00000000000000000358,273,AUS,1.5063085113625556,
0000000000000000040e,455,AUS,2.304302665662335,
00000000000000000472,555,AUS,655.853277119925,
00000000000000000016,609,AUT,176.72151241165855,
00000000000000000105,841,AUT,125.93754574275654,
0000000000000000011c,864,AUT,366.26089314422325,
000000000000000001c1,1029,AUT,51.74762599506397,
0000000000000000021d,1121,AUT,473.88778856101254,
00000000000000000284,62,AUT,198.21139881370084,
00000000000000000285,63,AUT,121.95985490621791,
00000000000000000286,64,AUT,125.15213243420305,
00000000000000000287,65,AUT,345.5562718505877,
00000000000000000288,66,AUT,53.203915337438616,
00000000000000000289,67,AUT,61.144851230862955,
0000000000000000028a,68,AUT,161.86265996154117,
00000000000000000318,209,AUT,174.6175351347595,
00000000000000000403,444,AUT,4361.152871966714,
0000000000000000049a,1170,AUT,147.8200759847415,
000000000000000004b8,1199,AUT,13.819424929080977,
000000000000000004b9,1200,AUT,208.89059384186012,
000000000000000004e7,1246,AUT,191.68314865740837,
000000000000000004f6,1261,AUT,4345.278804484803,
00000000000000000058,675,BEL,1352.0961129539069,
0000000000000000005f,682,BEL,534.2026739505772,
0000000000000000007b,710,BEL,49.41400250068372,
000000000000000000eb,815,BEL,120.74161338910147,
00000000000000000126,874,BEL,810.36254327873,
00000000000000000298,82,BEL,1453.6774739862647,
00000000000000000310,201,BEL,4604.097978622758,
00000000000000000311,202,BEL,4610.1746530312075,
000000000000000003e7,416,BEL,629.2900640407411,
00000000000000000437,496,BEL,633.6120408461428,
000000000000000004e6,1245,BEL,1920.9551310204604,
000000000000000004ea,1249,BEL,140.43705032452618,
000000000000000004f3,1258,BEL,375.62231416086433,
00000000000000000519,1296,BGR,316.8464646281454,
0000000000000000051a,1297,BGR,419.9337830896455,
00000000000000000523,1306,BGR,1057.3319957092033,
00000000000000000524,1307,BGR,64.77018190873511,
000000000000000001dc,1056,BIH,910.6091790311432,
00000000000000000411,458,BIH,45.379113121314234,
0000000000000000048c,581,BIH,63.62667810936697,
000000000000000004b1,1192,BIH,298.55789737129675,
0000000000000000050d,1284,BIH,182.12967846511893,
000000000000000001d7,1051,BRA,4701.679040194806,
000000000000000001d8,1052,BRA,367.046524295611,
000000000000000001d9,1053,BRA,10899.476135935638,
0000000000000000032f,232,BRA,3410.828922204841,
0000000000000000039b,340,BRA,802.8425890718767,
0000000000000000042b,484,BRA,8100.010500652335,
00000000000000000095,736,CAN,3.832675976986273,
000000000000000000e0,810,CAN,2.9142560219032188,
000000000000000000fc,832,CAN,4.291252700528529,
00000000000000000103,839,CAN,0.0034998446888188984,
00000000000000000116,858,CAN,0.0,
00000000000000000118,860,CAN,2.0995962522179212,
00000000000000000125,873,CAN,21.43117473842347,
00000000000000000176,954,CAN,28.37020606244758,
00000000000000000186,970,CAN,30.371702695191427,
000000000000000001e1,1061,CAN,2.617215926426721,
0000000000000000026f,41,CAN,216.03140448237681,
0000000000000000030e,199,CAN,0.00682028515755309,
000000000000000000e1,810,CHE,1375.397797961005,
000000000000000000fb,831,CHE,312.5271268933835,
000000000000000001d1,1045,CHE,527.6192973863185,
000000000000000001e7,1067,CHE,452.91720289312724,
000000000000000002d8,146,CHE,1561.400166041641,
000000000000000002d9,147,CHE,1571.7818716362196,
000000000000000002eb,164,CHE,886.6244104319879,
00000000000000000404,445,CHE,1922.3012761071502,
00000000000000000496,1166,CHE,365.8651662056525,
00000000000000000498,1168,CHE,447.02021356654666,
000000000000000004cd,1220,CHE,139.3948226674315,
00000000000000000511,1288,CHE,2377.4681113516917,
00000000000000000039,644,CHL,7835.976147422255,
00000000000000000047,658,CHL,1988.3001372682245,
00000000000000000071,700,CHL,141.81824356896573,
000000000000000000ab,758,CHL,4.124280135077162,
000000000000000000e7,811,CHL,68.16054349236721,
0000000000000000017a,958,CHL,100.93248628449679,
0000000000000000017b,959,CHL,6228.252151564506,
0000000000000000017c,960,CHL,6851.6374524611065,
0000000000000000017d,961,CHL,171.656807940421,
00000000000000000187,971,CHL,3206.7684825182937,
00000000000000000188,972,CHL,308.6497615041948,
00000000000000000189,973,CHL,149.97631801368016,
0000000000000000018f,979,CHL,524.8818602499581,
0000000000000000019c,992,CHL,107.91340754217171,
000000000000000001d6,1050,CHL,6881.622592746112,
00000000000000000232,1142,CHL,598.760729985887,
00000000000000000233,1143,CHL,772.1320687792047,
00000000000000000234,1144,CHL,1691.53555697132,
00000000000000000241,1157,CHL,568.2553807120718,
00000000000000000326,223,CHL,45.09705690900664,
0000000000000000032b,228,CHL,10.388292214154262,
00000000000000000359,274,CHL,7606.86515274008,
0000000000000000035a,275,CHL,6237.786289533041,
0000000000000000036f,296,CHL,1237.9949213822554,
00000000000000000372,299,CHL,297.54826434076705,
00000000000000000388,321,CHL,1031.8079559395542,
0000000000000000038b,324,CHL,185.11994719264143,
0000000000000000038e,327,CHL,468.2980894831443,
00000000000000000396,335,CHL,9.283775419544849,
000000000000000003c6,383,CHL,6888.39794562923,
00000000000000000460,537,CHL,1491.0654116960204,
00000000000000000462,539,CHL,4.891510742956992,
00000000000000000476,559,CHL,5662.978721505393,
0000000000000000049d,1173,CHL,4.690816487570702,
000000000000000004c1,1208,CHL,178.32999766997094,
0000000000000000007d,712,CHN,2402.109154702202,
00000000000000000229,1133,CHN,1757.112336954266,
00000000000000000296,80,CHN,2300.7166123165657,
000000000000000002e5,159,CHN,2495.65640820285,
00000000000000000302,187,CHN,1256.8698109979769,
00000000000000000367,288,CHN,14952.241973169033,
00000000000000000373,300,CHN,782.045104482902,
00000000000000000377,304,CHN,1312.9161326814083,
000000000000000003f5,430,CHN,2146.2698697793007,
0000000000000000044e,519,CHN,10814.822967202688,
0000000000000000045e,535,CHN,3299.350807908035,
0000000000000000045f,536,CHN,1683.5003051669198,
00000000000000000461,538,CHN,183.17723540987706,
000000000000000004a1,1176,CHN,1856.8715499679283,
000000000000000004fc,1267,CHN,3547.043785068891,
000000000000000004fd,1268,CHN,914.5568904885213,
0000000000000000053b,1330,CHN,1731.2782303717595,
0000000000000000053c,1331,CHN,2158.4957830225208,
0000000000000000053d,1332,CHN,1000.6229747861914,
0000000000000000053e,1333,CHN,1556.600583807549,
0000000000000000053f,1334,CHN,33546.17916324059,
00000000000000000540,1335,CHN,1703.5842162174927,
00000000000000000541,1336,CHN,6407.852416274989,
00000000000000000542,1337,CHN,981.7649643997613,
00000000000000000543,1338,CHN,1057.451772737419,
00000000000000000544,1339,CHN,683.1972623803844,
00000000000000000545,1340,CHN,29.463034324691503,
00000000000000000546,1341,CHN,3459.072263741614,
00000000000000000547,1342,CHN,1135.7006348189866,
00000000000000000548,1343,CHN,1000.0644761639167,
00000000000000000549,1344,CHN,2380.935188311889,
0000000000000000054a,1345,CHN,3514.4224975762477,
0000000000000000054b,1346,CHN,385.61603545038486,
0000000000000000054c,1347,CHN,2825.083722945491,
0000000000000000054d,1348,CHN,3499.458028209694,
0000000000000000054e,1349,CHN,927.9877785322948,
0000000000000000054f,1350,CHN,802.5474779757049,
00000000000000000550,1351,CHN,9414.77386419351,
00000000000000000551,1352,CHN,1595.2508096540141,
00000000000000000552,1353,CHN,2687.793180749354,
00000000000000000553,1354,CHN,780.4802435810068,
00000000000000000554,1355,CHN,775.0301212582565,
00000000000000000555,1356,CHN,1256.8806186367199,
00000000000000000556,1357,CHN,3.6451362224032713,
00000000000000000557,1358,CHN,1484.5987665773052,
00000000000000000558,1359,CHN,5837.564430529184,
00000000000000000559,1360,CHN,2433.1412279870087,
0000000000000000055a,1361,CHN,4204.422274915681,
0000000000000000055b,1362,CHN,1076.9430098284145,
0000000000000000055c,1363,CHN,1412.1638685078462,
0000000000000000055d,1364,CHN,10.035917829178342,
0000000000000000055e,1365,CHN,1593.334621256558,
0000000000000000055f,1366,CHN,1518.9095230438095,
00000000000000000560,1367,CHN,6678.093635133449,
00000000000000000561,1368,CHN,740.1117063095552,
00000000000000000562,1369,CHN,1764.5435244220919,
00000000000000000563,1370,CHN,1298.3714900470472,
00000000000000000564,1371,CHN,5162.909528473053,
00000000000000000565,1372,CHN,14286.91165935201,
00000000000000000566,1373,CHN,2659.8165732250513,
00000000000000000567,1374,CHN,1292.3663663307643,
00000000000000000568,1375,CHN,16543.929630150596,
00000000000000000569,1376,CHN,2422.3380096427372,
0000000000000000056a,1377,CHN,8216.962092065718,
0000000000000000056b,1378,CHN,821.8604435842877,
0000000000000000056d,1380,CHN,9869.905825361555,
0000000000000000056e,1381,CHN,2781.2027989716225,
0000000000000000056f,1382,CHN,2892.6758983300288,
00000000000000000570,1383,CHN,241.14264509846595,
00000000000000000571,1384,CHN,1540.5898945040742,
00000000000000000572,1385,CHN,14157.588401168303,
00000000000000000573,1386,CHN,995.259045326611,
00000000000000000574,1387,CHN,1031.8674099837974,
00000000000000000575,1388,CHN,2925.7830808096687,
00000000000000000576,1389,CHN,10813.639917019684,
00000000000000000577,1390,CHN,1803.2943133411482,
00000000000000000578,1391,CHN,5349.961162200978,
00000000000000000579,1392,CHN,476.3074286994827,
0000000000000000057a,1393,CHN,990.1189128676929,
0000000000000000057b,1394,CHN,1387.7413211790515,
0000000000000000057c,1395,CHN,2306.237396820027,
0000000000000000057d,1396,CHN,1741.3999472449468,
0000000000000000057e,1397,CHN,734.7558288005843,
0000000000000000057f,1398,CHN,5671.183459093541,
00000000000000000580,1399,CHN,1110.11001863111,
00000000000000000581,1400,CHN,947.8650075998793,
00000000000000000582,1401,CHN,2732.992096711064,
00000000000000000583,1402,CHN,870.7958979703837,
00000000000000000584,1403,CHN,12529.611416847827,
00000000000000000585,1404,CHN,4285.492942610521,
00000000000000000586,1405,CHN,1905.4949699221645,
00000000000000000587,1406,CHN,594.1552042312736,
00000000000000000588,1407,CHN,1840.181060350742,
00000000000000000589,1408,CHN,2591.2621170185394,
0000000000000000058a,1409,CHN,727.1630946032203,
0000000000000000058c,1411,CHN,1834.738040541769,
0000000000000000058d,1412,CHN,506.45485455636924,
0000000000000000058e,1413,CHN,433.5082566612731,
0000000000000000058f,1414,CHN,3453.5924209653494,
00000000000000000590,1415,CHN,230.47317757067825,
00000000000000000591,1416,CHN,1093.569107263679,
00000000000000000592,1417,CHN,9685.59787255199,
00000000000000000593,1418,CHN,590.7985409480481,
00000000000000000594,1419,CHN,5108.574732965978,
00000000000000000595,1420,CHN,2217.106201595082,
00000000000000000596,1421,CHN,10632.225585609134,
00000000000000000597,1422,CHN,3568.8643294460135,
00000000000000000598,1423,CHN,1888.2485372186852,
00000000000000000599,1424,CHN,871.579675004654,
0000000000000000059a,1425,CHN,5530.448197115266,
0000000000000000059b,1426,CHN,2307.679695418987,
0000000000000000059c,1427,CHN,1256.4248694366147,
0000000000000000059d,1428,CHN,3068.472618398692,
0000000000000000059e,1429,CHN,1337.0677319026458,
0000000000000000059f,1430,CHN,500.20339620592875,
000000000000000005a0,1431,CHN,1770.283438646372,
000000000000000005a1,1432,CHN,1796.221389289897,
000000000000000005a2,1433,CHN,2619.6223375399054,
000000000000000005a3,1434,CHN,1572.46801983989,
000000000000000005a5,1436,CHN,2405.6479970600367,
000000000000000005a6,1437,CHN,914.7334385488341,
000000000000000005a7,1438,CHN,1766.1130524756777,
000000000000000005a8,1439,CHN,1475.6193413851777,
000000000000000005a9,1440,CHN,1484.3405503199303,
000000000000000005ab,1442,CHN,120.53817589224865,
000000000000000005ac,1443,CHN,3359.7123156018824,
000000000000000005ad,1444,CHN,137.39108290473743,
000000000000000005ae,1445,CHN,1152.0459766213867,
000000000000000005af,1446,CHN,1064.7654097622874,
000000000000000005b0,1447,CHN,6131.247438665847,
000000000000000005b1,1448,CHN,2798.46672542254,
000000000000000005b2,1449,CHN,3246.44815361644,
000000000000000005b3,1450,CHN,896.4444372364834,
000000000000000005b4,1451,CHN,1048.892734225032,
000000000000000005b5,1452,CHN,2912.579215375804,
000000000000000005b6,1453,CHN,805.5619853319718,
000000000000000005b7,1454,CHN,905.5053595049786,
000000000000000005b8,1455,CHN,12026.954898357984,
000000000000000005b9,1456,CHN,540.985346353858,
000000000000000005ba,1457,CHN,1411.3775800529806,
000000000000000005bb,1458,CHN,2029.2224795188938,
000000000000000005bc,1459,CHN,524.6769600310791,
000000000000000005bd,1460,CHN,1707.374175755192,
000000000000000005be,1461,CHN,2631.355820681492,
000000000000000005bf,1462,CHN,1992.916530904373,
000000000000000005c0,1463,CHN,3016.032607019251,
000000000000000005c1,1464,CHN,189.19361766634452,
000000000000000005c2,1465,CHN,852.8731071915021,
000000000000000005c4,1467,CHN,4533.421856968259,
000000000000000005c5,1468,CHN,238.90222700099613,
000000000000000005c6,1469,CHN,2031.784300504772,
000000000000000005c7,1470,CHN,1710.949799127881,
000000000000000005c8,1471,CHN,1179.1359935445832,
000000000000000005c9,1472,CHN,1496.9888095415815,
000000000000000005ca,1473,CHN,157.88279157407322,
000000000000000005cb,1474,CHN,818.3226740593522,
000000000000000005cc,1475,CHN,1177.030711856509,
000000000000000005cd,1476,CHN,16124.623391335826,
000000000000000005ce,1477,CHN,2982.640902776543,
000000000000000005cf,1478,CHN,1266.8458243414007,
000000000000000005d0,1479,CHN,1972.0379704295174,
000000000000000005d1,1480,CHN,3310.674506114132,
000000000000000005d2,1481,CHN,834.0699148226298,
000000000000000005d3,1482,CHN,752.4267953986649,
000000000000000005d4,1483,CHN,3833.329481370258,
000000000000000005d5,1484,CHN,1934.9297577099528,
000000000000000005d6,1485,CHN,675.3522867554062,
000000000000000005d7,1486,CHN,989.0217151769729,
000000000000000005d8,1487,CHN,1726.8101295979495,
000000000000000005da,1489,CHN,1853.9903525008324,
000000000000000005dc,1491,CHN,8092.372014630146,
000000000000000005dd,1492,CHN,213.26178130276872,
000000000000000005de,1493,CHN,2518.4558811532374,
000000000000000005df,1494,CHN,3780.805705414742,
000000000000000005e0,1495,CHN,8938.339558327953,
000000000000000005e1,1496,CHN,319.0366335945025,
000000000000000005e2,1497,CHN,172.8460570035187,
000000000000000005e3,1498,CHN,1413.7588616794694,
000000000000000005e4,1499,CHN,1859.3323849246,
000000000000000005e5,1500,CHN,1849.688571969939,
000000000000000005e6,1501,CHN,341.9906525179013,
000000000000000005e7,1502,CHN,1307.4231842278202,
000000000000000005e8,1503,CHN,1383.5770436448959,
000000000000000005e9,1504,CHN,1289.8349732578124,
000000000000000005ea,1505,CHN,1565.174746828332,
000000000000000005eb,1506,CHN,2760.952639547454,
000000000000000005ec,1507,CHN,730.3678984721248,
000000000000000005ed,1508,CHN,5204.228052577841,
000000000000000005ee,1509,CHN,1873.1530831647347,
000000000000000005ef,1510,CHN,96.02440530862127,
000000000000000005f0,1511,CHN,1724.0004638042549,
000000000000000005f1,1512,CHN,4067.277221461607,
000000000000000005f2,1513,CHN,3319.945973013431,
000000000000000005f3,1514,CHN,2725.7873291761607,
000000000000000005f5,1516,CHN,1521.0387674947822,
000000000000000005f6,1517,CHN,1584.1564550182045,
000000000000000005f7,1518,CHN,694.4713604814391,
000000000000000005f8,1519,CHN,692.0918363257542,
000000000000000005f9,1520,CHN,1096.4538744845042,
000000000000000005fa,1521,CHN,17847.87012194238,
000000000000000005fb,1522,CHN,1231.2188014987062,
000000000000000005fc,1523,CHN,352.0778762711621,
000000000000000005fd,1524,CHN,1766.310860654966,
000000000000000005fe,1525,CHN,5276.428215698222,
000000000000000005ff,1526,CHN,2600.4716105803245,
00000000000000000600,1527,CHN,4750.024061099136,
00000000000000000601,1528,CHN,3280.19199649504,
00000000000000000602,1529,CHN,781.9197103811241,
00000000000000000603,1530,CHN,11027.455212255221,
00000000000000000604,1531,CHN,2066.2290066766864,
00000000000000000605,1532,CHN,498.88127203309335,
00000000000000000606,1533,CHN,1490.0773929696215,
00000000000000000607,1534,CHN,4800.605751130778,
00000000000000000608,1535,CHN,2267.4739827442068,
00000000000000000609,1536,CHN,1793.631380024934,
0000000000000000060a,1537,CHN,2017.967583495518,
0000000000000000060b,1538,CHN,4930.200735148317,
0000000000000000060c,1539,CHN,494.9914007623285,
0000000000000000060d,1540,CHN,2714.0697367255334,
0000000000000000060e,1541,CHN,6001.387545293277,
0000000000000000060f,1542,CHN,1344.7516512879793,
00000000000000000610,1543,CHN,2810.946151623599,
00000000000000000611,1544,CHN,3299.0194691640677,
00000000000000000612,1545,CHN,1685.0041990893865,
00000000000000000613,1546,CHN,3220.3008995828745,
00000000000000000614,1547,CHN,11333.264789716752,
00000000000000000615,1548,CHN,1679.0947457411335,
00000000000000000616,1549,CHN,8479.503142743575,
00000000000000000617,1550,CHN,1366.91115466615,
00000000000000000618,1551,CHN,1862.141547873672,
00000000000000000619,1552,CHN,2466.5027256720878,
0000000000000000061a,1553,CHN,759.1172273738773,
0000000000000000061b,1554,CHN,3990.8956327592423,
0000000000000000061c,1555,CHN,990.0997950798911,
0000000000000000061d,1556,CHN,1312.1734002454373,
0000000000000000061e,1557,CHN,1429.4972775053393,
0000000000000000061f,1558,CHN,2428.388386432656,
00000000000000000620,1559,CHN,108.98687781588904,
00000000000000000621,1560,CHN,3350.7636310793173,
00000000000000000622,1561,CHN,3369.2053899785933,
00000000000000000624,1563,CHN,2118.405018896348,
00000000000000000625,1564,CHN,3065.5829863484864,
00000000000000000626,1565,CHN,2687.7662320512623,
00000000000000000627,1566,CHN,2500.413583268083,
00000000000000000628,1567,CHN,2005.6277391794354,
00000000000000000629,1568,CHN,1309.6558193938997,
0000000000000000062a,1569,CHN,5021.635933773571,
0000000000000000062b,1570,CHN,1168.34234721581,
0000000000000000062c,1571,CHN,100.44185849754895,
0000000000000000062d,1572,CHN,1113.2259620176965,
0000000000000000062e,1573,CHN,1017.9673616166252,
0000000000000000062f,1574,CHN,722.483120276021,
00000000000000000630,1575,CHN,316.4074708030175,
00000000000000000631,1576,CHN,1792.907774603033,
00000000000000000632,1577,CHN,2245.084975523309,
00000000000000000633,1578,CHN,1378.2710963494228,
00000000000000000634,1579,CHN,1296.339592403109,
00000000000000000635,1580,CHN,95.49975850102629,
00000000000000000636,1581,CHN,8934.698698544287,
00000000000000000637,1582,CHN,1455.8832603325025,
00000000000000000638,1583,CHN,8396.112092554651,
00000000000000000639,1584,CHN,6356.571917736012,
0000000000000000063a,1585,CHN,1482.7464535927963,
0000000000000000063b,1586,CHN,722.0425222699618,
0000000000000000063c,1587,CHN,2509.2924781229713,
0000000000000000063d,1588,CHN,886.4928959681953,
0000000000000000063e,1589,CHN,2698.281048941001,
0000000000000000063f,1590,CHN,2088.70511229672,
00000000000000000640,1591,CHN,2600.6666902280026,
00000000000000000641,1592,CHN,1646.1694078710855,
00000000000000000642,1593,CHN,1463.3407656893962,
00000000000000000643,1594,CHN,1839.6579175224938,
00000000000000000648,1599,CHN,1830.3004633529515,
00000000000000000649,1600,CHN,3543.871825404912,
0000000000000000064a,1601,CHN,7839.699380848917,
0000000000000000064c,1603,CHN,2025.9156654084686,
0000000000000000064d,1604,CHN,2867.4751860993865,
0000000000000000064e,1605,CHN,921.3891069706053,
0000000000000000064f,1606,CHN,886.5696673613689,
00000000000000000650,1607,CHN,2835.218601967899,
00000000000000000651,1608,CHN,1097.7776282053067,
00000000000000000652,1609,CHN,1416.3421062255436,
00000000000000000653,1610,CHN,1107.234031541266,
00000000000000000654,1611,CHN,1659.014766987875,
00000000000000000655,1612,CHN,1956.4988300210762,
00000000000000000656,1613,CHN,2133.0078037117028,
00000000000000000657,1614,CHN,2054.7934382317735,
00000000000000000658,1615,CHN,1165.7706261712374,
00000000000000000659,1616,CHN,2493.475860930811,
0000000000000000065a,1617,CHN,1414.8648287540188,
0000000000000000065b,1618,CHN,3612.897648298191,
0000000000000000065c,1619,CHN,1537.408801002369,
0000000000000000065d,1620,CHN,3422.8784138591955,
0000000000000000065e,1621,CHN,303.0916392045518,
0000000000000000065f,1622,CHN,3929.761080492209,
