system:index,adm0_a3,area,brk_name,mean,.geo
000000000000000000e1,MNG,1.560408978352288E12,Mongolia,2.0647906131983262,
00000000000000000080,VUT,1.1292245451225271E10,Vanuatu,23.949611533880372,
00000000000000000072,TUR,7.798089572586814E11,Turkey,102.43241837718944,
000000000000000000d2,LVA,6.426034373345393E10,Latvia,40.788549216738176,
000000000000000000e4,MRT,1.0383437055830714E12,Mauritania,4.203750060911317,
000000000000000000a5,GRL,2.154806992517618E12,Greenland,0.008581195070805089,
00000000000000000074,TZA,9.457856426250505E11,Tanzania,60.55298354659188,
00000000000000000038,NOR,3.842502104483439E11,Norway,10.782283899155223,
000000000000000000c1,KGZ,1.98649789761418E11,Kyrgyzstan,30.364764835151927,
000000000000000000cf,LSO,3.0027591879040634E10,Lesotho,61.938022211296094,
00000000000000000075,UGA,2.425546010778862E11,Uganda,178.84746393379697,
00000000000000000035,BWA,5.806235205973E11,Botswana,4.151026552725322,
00000000000000000094,FIN,3.3049329005396704E11,Finland,15.997257582973797,
00000000000000000006,COG,3.4687577310268854E11,Republic of Congo,12.451512085453373,
000000000000000000b1,IND,3.1558252180652524E12,India,447.58808745928275,
00000000000000000015,ALB,2.8335545570036312E10,Albania,100.05874283350344,
0000000000000000000c,CUB,1.0929651081871838E11,Cuba,103.14194847068578,
000000000000000000d7,MDA,3.3116803710131367E10,Moldova,110.72058842333031,
000000000000000000e9,NAM,8.246408903492405E11,Namibia,2.9267005464618854,
0000000000000000009e,GHA,2.3956582994343115E11,Ghana,138.14574743328146,
0000000000000000008d,DZA,2.3227506699849766E12,Algeria,20.313153196180668,
00000000000000000048,PRY,4.009055614918095E11,Paraguay,18.90383936913649,
000000000000000000ad,HTI,2.680506452402336E10,Haiti,553.2837027949404,
000000000000000000da,MEX,1.9622739246520354E12,Mexico,70.51324177295436,
0000000000000000004d,RUS,1.6852692164947111E13,Russia,6.951188309017677,
00000000000000000021,AUT,8.391069842156479E10,Austria,107.24825109446962,
000000000000000000ca,LBR,9.566620450318898E10,Liberia,45.82269551499658,
00000000000000000025,BEN,1.1658155239757262E11,Benin,115.4255812727403,
0000000000000000004c,ROU,2.357716210090439E11,Romania,139.750131977481,
000000000000000000a8,GUY,2.1194737142543845E11,Guyana,3.5797894998069935,
00000000000000000051,SDN,1.8630500486266594E12,Sudan,22.75539545877593,
0000000000000000002e,BLZ,2.27804603120558E10,Belize,19.202363917308546,
000000000000000000eb,NER,1.1850457469356165E12,Niger,19.853603402463087,
00000000000000000097,FRA,6.350447576261671E11,France,114.80215948492982,
000000000000000000dd,MLI,1.2582052638264753E12,Mali,18.4218140577032,
00000000000000000062,SVN,2.0194288869521233E10,Slovenia,110.71508937644248,
00000000000000000022,AZE,8.640364683952704E10,Azerbaijan,122.03893261728903,
00000000000000000057,SLB,2.5740126603882774E10,Solomon Is.,25.685593349017978,
00000000000000000073,TWN,3.599398810798364E10,Taiwan,679.9514560309921,
00000000000000000087,CZE,7.848211822993948E10,Czech Rep.,138.34256694446555,
00000000000000000078,USA,9.439407707690943E12,United States,32.024043366834995,
0000000000000000005c,SOM,4.736058833739037E11,Somalia,17.54804087461796,
000000000000000000ac,HRV,5.442083616480031E10,Croatia,73.49255499163544,
000000000000000000ba,JAM,1.093213997950531E10,Jamaica,253.00706501466178,
00000000000000000067,SYR,1.8574030294703745E11,Syria,144.00578697284755,
000000000000000000bc,JOR,8.88597046621878E10,Jordan,80.63693516634319,
0000000000000000005b,SOL,1.6849166085416782E11,Somaliland,16.355784034900143,
00000000000000000005,COD,2.3346251555852754E12,Democratic Republic of the Congo,51.48149536885645,
0000000000000000006e,TLS,1.5020866373774004E10,Timor-Leste,97.68154785116683,
000000000000000000b7,ISL,1.0116067174713747E11,Iceland,3.2996709889006532,
0000000000000000006a,TGO,5.713954217497674E10,Togo,154.27096913931717,
00000000000000000036,CAF,6.209842923567628E11,Central African Rep.,8.921786811027566,
00000000000000000095,FJI,1.840665836749162E10,Fiji,49.883594570814395,
00000000000000000013,AGO,1.2494555396185557E12,Angola,28.913147062139,
000000000000000000a0,GMB,1.031365185725769E10,Gambia,220.2264558120379,
000000000000000000e7,MWI,1.1979482883516072E11,Malawi,161.61282448839054,
00000000000000000002,CHN,9.371211575516182E12,China,147.71254322334048,
00000000000000000027,BGD,1.3564990212412422E11,Bangladesh,1220.3485655658908,
00000000000000000084,ZAF,1.221659493733194E12,South Africa,48.5800126211837,
000000000000000000dc,MKD,2.5364103418784164E10,Macedonia,83.91421129704966,
000000000000000000c5,KOR,9.715080648855743E10,Republic of Korea,525.6732982193316,
00000000000000000018,ARE,7.127628849735854E10,United Arab Emirates,126.16067515020595,
0000000000000000000b,CRI,5.151292782815551E10,Costa Rica,94.23914289278898,
00000000000000000024,BEL,3.0681423402458267E10,Belgium,384.9022915256952,
00000000000000000064,SWZ,1.6992233449561853E10,Swaziland,63.03330666638186,
000000000000000000c0,KEN,5.948351803167643E11,Kenya,93.02758086549585,
000000000000000000e0,MNE,1.3666720076874083E10,Montenegro,45.484292340610004,
0000000000000000002d,BLR,2.0669306103920486E11,Belarus,44.77779094994349,
000000000000000000cb,LBY,1.6265084851282593E12,Libya,4.478463981789249,
000000000000000000ea,NCL,1.8667071001959316E10,New Caledonia,11.65447893263277,
00000000000000000050,SAU,1.9258397509442026E12,Saudi Arabia,19.159914932133233,
00000000000000000085,ZMB,7.555924391864287E11,Zambia,24.823605940725614,
00000000000000000030,BOL,1.0902692249904719E12,Bolivia,11.027777694161914,
0000000000000000003b,NZL,2.6685677505056558E11,New Zealand,18.73856653123653,
0000000000000000009f,GIN,2.4492579929855908E11,Guinea,50.687997865129304,
00000000000000000053,SEN,1.9732782095034027E11,Senegal,86.85404676723257,
000000000000000000e8,MYS,3.2764397831883466E11,Malaysia,103.47196457871253,
0000000000000000009a,GAB,2.6066256031309387E11,Gabon,11.27667757327317,
000000000000000000c9,LBN,1.0011204801055689E10,Lebanon,928.007385172509,
00000000000000000089,DJI,2.1703891754349552E10,Djibouti,48.36832277072316,
0000000000000000008e,ECU,2.5566736126480856E11,Ecuador,69.97029027078597,
00000000000000000044,POL,3.1254434737606903E11,Poland,126.50453871983996,
00000000000000000052,SDS,6.239657399713574E11,S. Sudan,26.696971089485345,
00000000000000000083,YEM,4.541370817367479E11,Yemen,65.71281766234772,
000000000000000000a2,GNQ,2.6643776582368862E10,Eq. Guinea,47.62936696610106,
00000000000000000026,BFA,2.7368432978726556E11,Burkina Faso,83.38472149127405,
00000000000000000058,SLE,7.187587918488036E10,Sierra Leone,88.56385624100552,
000000000000000000ee,NIC,1.2924309625266602E11,Nicaragua,54.0534997313796,
00000000000000000039,NPL,1.4719395274151633E11,Nepal,287.34869049881866,
00000000000000000000,CHE,4.120695764199761E10,Switzerland,221.93194413400687,
0000000000000000007f,VNM,3.2894035720575745E11,Vietnam,300.98282959850303,
0000000000000000008f,EGY,1.0035864870912186E12,Egypt,101.14997901549087,
000000000000000000c7,KWT,1.732966201640253E10,Kuwait,202.74756963072045,
00000000000000000034,BTN,3.9876671960503204E10,Bhutan,24.61233451750681,
0000000000000000001a,ARM,2.955751087081757E10,Armenia,95.20317284250385,
00000000000000000040,PER,1.2962843830881497E12,Peru,27.54728783288748,
000000000000000000b4,IRL,6.8699670029612366E10,Ireland,80.28291632602308,
000000000000000000d8,MDG,5.945976606973036E11,Madagascar,47.38335297652196,
00000000000000000037,CAN,9.872077751049023E12,Canada,2.6338519849224653,
000000000000000000b9,ITA,3.002870210918748E11,Italy,208.90643864333805,
0000000000000000009b,GBR,2.3961075068454343E11,United Kingdom,269.9556073225278,
00000000000000000060,SUR,1.455741088670904E11,Suriname,4.363600863397341,
00000000000000000001,CHL,7.374483496265757E11,Chile,26.833028873792426,
000000000000000000b5,IRN,1.6228184597598691E12,Iran,50.54646329727652,
00000000000000000046,PRK,1.2249396117731337E11,Dem. Rep. Korea,190.85475240760485,
000000000000000000c6,KOS,1.091166999514152E10,Kosovo,189.77118184109833,
00000000000000000086,ZWE,3.9018361688222864E11,Zimbabwe,36.59019421504536,
00000000000000000079,UZB,4.4736992073581665E11,Uzbekistan,72.86791451401622,
00000000000000000043,PNG,4.642915712312194E11,Papua New Guinea,19.89045166550365,
00000000000000000061,SVK,4.833944097325861E10,Slovakia,112.83072734882596,
000000000000000000bf,KAZ,2.712778152622092E12,Kazakhstan,6.587234824819198,
000000000000000000f0,NLD,3.713270125066564E10,Netherlands,477.3280340775378,
00000000000000000004,CMR,4.6588211462669684E11,Cameroon,60.976596635391914,
0000000000000000006c,TJK,1.4229334637747964E11,Tajikistan,67.47187733186509,
0000000000000000004e,RWA,2.5385656961358852E10,Rwanda,599.5036465567337,
00000000000000000090,ERI,1.2368058515960774E11,Eritrea,34.98539203322016,
0000000000000000004f,SAH,9.079435790195088E10,W. Sahara,0.42886220551435117,
000000000000000000c8,LAO,2.2894536893427798E11,Laos,34.278487233549455,
00000000000000000096,FLK,1.1386247134492569E10,Falkland Is.,0.15156136305188478,
000000000000000000ce,LKA,6.604294683964512E10,Sri Lanka,326.00393787517646,
000000000000000000af,IDN,1.8721596697237664E12,Indonesia,150.17290845260484,
00000000000000000092,EST,4.5452576634156876E10,Estonia,31.99641575659123,
00000000000000000003,CIV,3.222968750896222E11,Cï¿½te d'Ivoire,83.86596608741232,
000000000000000000e3,MOZ,7.906693533065753E11,Mozambique,39.451956028564815,
00000000000000000019,ARG,2.782677113578764E12,Argentina,15.92509662905092,
00000000000000000076,UKR,5.971266577113839E11,Ukraine,74.65402075351766,
0000000000000000004b,QAT,1.1074085963982878E10,Qatar,590.5857789056347,
00000000000000000069,TCD,1.2709910250816401E12,Chad,12.82656136226304,
000000000000000000ed,NGA,9.115525688077213E11,Nigeria,237.32807066669685,
0000000000000000006b,THA,5.157289177735939E11,Thailand,145.7861894068918,
00000000000000000091,ESP,5.061716954941674E11,Spain,103.18771664485682,
00000000000000000071,TUN,1.5665795318521225E11,Tunisia,77.03394849207235,
0000000000000000009c,GEO,6.930511626094978E10,Georgia,54.94132640104826,
0000000000000000005e,SRB,7.749000805337177E10,Serbia,93.75867520397698,
0000000000000000007c,VEN,9.143177489399548E11,Venezuela,35.36031216844148,
0000000000000000003e,PAN,7.42445755956776E10,Panama,58.83579156797679,
00000000000000000012,AFG,6.420541990004327E11,Afghanistan,47.66241311335197,
0000000000000000001c,ATA,1.2256629605128441E13,Antarctica,,
000000000000000000a3,GRC,1.301667505349764E11,Greece,81.37076957831734,
000000000000000000d5,MAR,5.823971073592861E11,Morocco,65.5814028093262,
000000000000000000b6,IRQ,4.374560488994243E11,Iraq,104.74226226998881,
00000000000000000088,DEU,3.561640385812638E11,Germany,223.03463526564394,
0000000000000000008b,DNK,4.241704395948183E10,Denmark,135.74939834068175,
00000000000000000031,BRA,8.499364360110176E12,Brazil,25.9745125834909,
00000000000000000077,URY,1.7756172374412213E11,Uruguay,18.645741725545804,
00000000000000000041,PHL,2.9030453698736456E11,Philippines,384.5146823562403,
000000000000000000b8,ISR,2.2283603247026493E10,Israel,399.4284339970155,
00000000000000000093,ETH,1.1317848806172896E12,Ethiopia,91.87745389217312,
0000000000000000006d,TKM,4.706280835598775E11,Turkmenistan,21.079156388913802,
0000000000000000003c,OMN,3.1207178964435974E11,Oman,12.583635170343522,
000000000000000000a6,GTM,1.084802371410138E11,Guatemala,168.14655845854,
00000000000000000059,SLV,2.039185852246922E10,El Salvador,331.76724687300475,
00000000000000000023,BDI,2.7207287128545586E10,Burundi,422.4208590391921,
000000000000000000ae,HUN,9.295890161006354E10,Hungary,102.60771625210216,
000000000000000000bd,JPN,3.700984264878994E11,Japan,342.93991648706543,
000000000000000000d0,LTU,6.451828332423436E10,Lithuania,43.064609810306685,
0000000000000000008c,DOM,4.858920212688222E10,Dominican Rep.,256.45003014096574,
0000000000000000003d,PAK,8.737715645867314E11,Pakistan,265.00702978188025,
000000000000000000df,MMR,6.627651968050989E11,Myanmar,73.00944038110813,
000000000000000000c2,KHM,1.8136276753694922E11,Cambodia,110.5386681330626,
0000000000000000002b,BIH,5.168459606967449E10,Bosnia and Herz.,65.95114806601055,
000000000000000000a1,GNB,3.20557182927192E10,Guinea-Bissau,56.03432875599835,
00000000000000000047,PRT,9.075832898820743E10,Portugal,110.0863845483592,
00000000000000000028,BGR,1.1241859711857329E11,Bulgaria,70.91517387403447,
00000000000000000008,COL,1.139431471049998E12,Colombia,56.29091390995191,
00000000000000000020,AUS,7.705994690922982E12,Australia,3.057035224346446,
0000000000000000002a,BHS,1.2668144668083288E10,Bahamas,29.199592494791386,
000000000000000000ab,HND,1.1351431638980246E11,Honduras,85.65303916679449,
00000000000000000063,SWE,4.429761453898181E11,Sweden,20.026429849617614,
