ymd	num_trips	date	prcp	snwd	snow	tmax	tmin
2014-01-01	6059	20140101	0	0	0	3.3	2.4
2014-01-02	8600	20140102	0.33	0	3.1	3.3	1.8
2014-01-03	1144	20140103	0.29	5.9	3.3	1.8	0.9
2014-01-04	2292	20140104	0	5.9	0	2.9	0.8
2014-01-05	2678	20140105	0.14	3.9	0	4	2.7
2014-01-06	9510	20140106	0.36	1.2	0	5.5	1.9
2014-01-07	6267	20140107	0	0	0	1.9	0.4
2014-01-08	9246	20140108	0	0	0	2.2	0.9
2014-01-09	13354	20140109	0	0	0	3.2	2.2
2014-01-10	9847	20140110	0.11	0	0	3.7	3
2014-01-11	7695	20140111	0.5	0	0	5.8	3.7
2014-01-12	12515	20140112	0.05	0	0	5.4	3.8
2014-01-13	20633	20140113	0	0	0	5.1	3.7
2014-01-14	9999	20140114	0.38	0	0	5.2	4.4
2014-01-15	21630	20140115	0	0	0	4.7	3.9
2014-01-16	19953	20140116	0	0	0	4.2	3.6
2014-01-17	20301	20140117	0	0	0	4.4	3.3
2014-01-18	9438	20140118	0.07	0	0	4.1	2.9
2014-01-19	9028	20140119	0	0	0	3.8	2.4
2014-01-20	13407	20140120	0	0	0	4.6	3.1
2014-01-21	3804	20140121	0.46	0	11	3.1	1.1
2014-01-22	2451	20140122	0.02	11	0.5	1.7	0.5
2014-01-23	5071	20140123	0	7.1	0	2	0.7
2014-01-24	6176	20140124	0	5.9	0	2	1
2014-01-25	4338	20140125	0.04	3.9	1	2.8	1.9
2014-01-26	4980	20140126	0	3.9	0	3.4	1.7
2014-01-27	13119	20140127	0	3.1	0	4.4	2.1
2014-01-28	10033	20140128	0	1.2	0	2.1	1.2
2014-01-29	10021	20140129	0.04	2	0.8	2.3	1.4
2014-01-30	12158	20140130	0	1	0	3	1.6
2014-01-31	14653	20140131	0	1.2	0	3.9	2.5
2014-02-01	12771	20140201	0	1.2	0	4.5	3.6
2014-02-02	13816	20140202	0	1.2	0	5.6	3.9
2014-02-03	2600	20140203	1.17	1.2	8	4.3	2.7
2014-02-04	8709	20140204	0	7.9	0	3.5	2.2
2014-02-05	2746	20140205	1.43	9.1	4	3.4	2.9
2014-02-06	7196	20140206	0	9.1	0	3.2	2.1
2014-02-07	8495	20140207	0	9.1	0	3.2	2.4
2014-02-08	5986	20140208	0	9.1	0	2.9	2.1
2014-02-09	4996	20140209	0.1	7.9	1.2	3.1	2.1
2014-02-10	6846	20140210	0	9.8	0	2.9	2.1
2014-02-11	8343	20140211	0	9.8	0	2.6	1.6
2014-02-12	8580	20140212	0	9.8	0	2.5	1.3
2014-02-13	876	20140213	1.78	11.8	9.5	3.6	2.4
2014-02-14	3609	20140214	0.3	18.1	3	4	3.1
2014-02-15	2261	20140215	0.13	18.1	1.6	3.7	2.7
2014-02-16	3003	20140216	0	18.1	0	3	2.1
2014-02-17	4854	20140217	0	16.9	0	3.2	1.8
2014-02-18	5140	20140218	0.16	18.1	1.5	3.9	2.6
2014-02-19	8506	20140219	0.26	16.9	0	4.5	3.4
2014-02-20	11792	20140220	0.03	15	0	5.1	3.7
2014-02-21	8680	20140221	0.09	13	0	4.9	3.6
2014-02-22	13044	20140222	0	9.8	0	5.4	4
2014-02-23	13324	20140223	0	9.1	0	5.4	4.3
2014-02-24	12922	20140224	0	5.9	0	4.4	2.7
2014-02-25	12830	20140225	0	5.9	0	3.3	2.4
2014-02-26	11188	20140226	0.03	5.9	0.2	3.1	2
2014-02-27	12036	20140227	0	5.9	0	3.4	1.4
2014-02-28	9587	20140228	0	5.9	0	2.4	0.9
2014-03-01	9202	20140301	0	5.9	0	3.7	2
2014-03-02	8195	20140302	0	5.1	0	4	3.2
2014-03-03	7708	20140303	0.04	5.1	0.1	3.2	1.7
2014-03-04	10398	20140304	0	5.1	0	2.9	1.3
2014-03-05	13801	20140305	0	3.9	0	3.9	2.6
2014-03-06	12773	20140306	0	3.9	0	3.1	1.6
2014-03-07	13304	20140307	0	3.9	0	3.7	2.6
2014-03-08	16350	20140308	0	3.1	0	5.7	3.5
2014-03-09	12262	20140309	0	2	0	4.4	3.6
2014-03-10	17231	20140310	0	1.2	0	5.1	3.6
2014-03-11	24356	20140311	0	0	0	6.6	4.5
2014-03-12	15101	20140312	0.35	0	0	5.6	3.2
2014-03-13	10979	20140313	0	0	0	3.2	1.8
2014-03-14	16299	20140314	0	0	0	4.6	2.2
2014-03-15	18053	20140315	0	0	0	5.8	4.2
2014-03-16	9851	20140316	0	0	0	4.2	3
2014-03-17	12503	20140317	0	0	0	3.5	2.3
2014-03-18	16679	20140318	0	0	0	4.3	2.8
2014-03-19	13341	20140319	0.92	0	0	4.6	3.2
2014-03-20	19695	20140320	0	0	0	5.4	4
2014-03-21	20718	20140321	0	0	0	5.1	3.9
2014-03-22	19880	20140322	0	0	0	6.3	4.1
2014-03-23	11740	20140323	0	0	0	4.2	2.7
2014-03-24	13598	20140324	0	0	0	3.5	2.1
2014-03-25	16037	20140325	0	0	0	3.9	2.6
2014-03-26	14500	20140326	0	0	0	3.6	2.4
2014-03-27	16666	20140327	0	0	0	4.4	2.2
2014-03-28	18425	20140328	0.04	0	0	6.2	3.7
2014-03-29	4480	20140329	1.81	0	0	5.9	4.3
2014-03-30	7907	20140330	0.35	0	0	4.9	3.9
2014-03-31	17085	20140331	0.16	0	0	5.6	3.6
2014-04-01	23908	20140401	0	0	0	6	3.9
2014-04-02	22515	20140402	0	0	0	5.4	4.2
2014-04-03	26321	20140403	0.07	0	0	6.7	4.6
2014-04-04	12566	20140404	0.21	0	0	4.7	4
2014-04-05	18655	20140405	0	0	0	5.4	4
2014-04-06	20750	20140406	0	0	0	6.1	3.6
2014-04-07	14677	20140407	0.52	0	0	5.3	4.3
2014-04-08	21884	20140408	0.34	0	0	6.4	4.6
2014-04-09	26931	20140409	0	0	0	6.1	4.5
2014-04-10	27463	20140410	0	0	0	5.8	4.2
2014-04-11	26798	20140411	0	0	0	7.5	5.6
2014-04-12	27108	20140412	0	0	0	7.3	5
2014-04-13	26871	20140413	0	0	0	7.7	5.4
2014-04-14	28832	20140414	0	0	0	7.5	5.9
2014-04-15	10523	20140415	0.71	0	0	6.3	3.3
2014-04-16	20082	20140416	0.05	0	0	4.9	3.1
2014-04-17	22282	20140417	0	0	0	4.8	3.6
2014-04-18	20770	20140418	0	0	0	4.9	3.5
2014-04-19	24369	20140419	0	0	0	6.8	4.1
2014-04-20	18464	20140420	0	0	0	6	4.5
2014-04-21	27124	20140421	0	0	0	6.7	4.1
2014-04-22	27259	20140422	0.01	0	0	7.1	5.1
2014-04-23	26949	20140423	0	0	0	6.1	4.4
2014-04-24	28107	20140424	0	0	0	6.2	4.2
2014-04-25	27919	20140425	0.02	0	0	6.3	4.4
2014-04-26	19899	20140426	0.92	0	0	6.7	4.6
2014-04-27	21926	20140427	0	0	0	5.9	4.7
2014-04-28	28557	20140428	0	0	0	6.7	4.5
2014-04-29	18404	20140429	0.03	0	0	5.2	4.3
2014-04-30	2867	20140430	4.97	0	0	5.2	4.1
2014-05-01	26762	20140501	0.12	0	0	7.8	5.1
2014-05-02	32377	20140502	0	0	0	7	5.6
2014-05-03	25501	20140503	0.08	0	0	7.1	5.4
2014-05-04	21277	20140504	0.02	0	0	6.5	5.4
2014-05-05	30288	20140505	0	0	0	7	5
2014-05-06	32233	20140506	0	0	0	7.1	5.2
2014-05-07	32882	20140507	0	0	0	6.9	5
2014-05-08	17619	20140508	0.41	0	0	5.9	5.3
2014-05-09	22641	20140509	0.04	0	0	6.3	5.5
2014-05-10	21832	20140510	0.37	0	0	8.3	5.7
2014-05-11	28326	20140511	0.03	0	0	8.2	6
2014-05-12	31644	20140512	0	0	0	8.5	6.4
2014-05-13	32847	20140513	0	0	0	7.3	5.3
2014-05-14	30044	20140514	0.01	0	0	7.1	5.2
2014-05-15	26057	20140515	0.15	0	0	7.1	5.8
2014-05-16	17784	20140516	1.54	0	0	6.8	5.8
2014-05-17	29912	20140517	0	0	0	7	5.3
2014-05-18	27436	20140518	0	0	0	6.7	5.1
2014-05-19	31692	20140519	0	0	0	7.2	4.9
2014-05-20	35567	20140520	0	0	0	7.8	5.3
2014-05-21	34420	20140521	0	0	0	7.4	6.3
2014-05-22	24535	20140522	0.24	0	0	6.7	5.9
2014-05-23	24484	20140523	0.91	0	0	7.1	5.6
2014-05-24	16798	20140524	0.4	0	0	7	5.7
2014-05-25	25637	20140525	0	0	0	8	5.5
2014-05-26	26930	20140526	0	0	0	8.6	6.6
2014-05-27	32936	20140527	0	0	0	8.6	6.4
2014-05-28	29690	20140528	0	0	0	6.4	5.4
2014-05-29	33889	20140529	0	0	0	6.6	5.1
2014-05-30	34343	20140530	0	0	0	7.5	5.5
2014-05-31	27734	20140531	0.05	0	0	7.3	5.7
2014-06-01	31333	20140601	0	0	0	7.7	5.5
2014-06-02	34519	20140602	0	0	0	8	5.9
2014-06-03	29501	20140603	0.12	0	0	8.7	6.5
2014-06-04	36068	20140604	0	0	0	8.2	6.3
2014-06-05	24619	20140605	0.87	0	0	7.6	6.1
2014-06-06	37719	20140606	0	0	0	7.6	6.1
2014-06-07	31204	20140607	0	0	0	8.2	6
2014-06-08	30162	20140608	0	0	0	8.6	6.6
2014-06-09	18611	20140609	1.6	0	0	7.3	6.3
2014-06-10	33435	20140610	0	0	0	7.7	6.5
2014-06-11	30548	20140611	0.02	0	0	7	6.1
2014-06-12	29084	20140612	0.07	0	0	7.3	6
2014-06-13	18308	20140613	1.28	0	0	7.9	6.5
2014-06-14	28417	20140614	0	0	0	7.4	6
2014-06-15	28382	20140615	0	0	0	8	5.9
2014-06-16	34932	20140616	0	0	0	8.1	6.3
2014-06-17	35097	20140617	0	0	0	8.9	7.1
2014-06-18	35531	20140618	0	0	0	8.9	7.6
2014-06-19	31724	20140619	0.15	0	0	7.7	6.8
2014-06-20	34405	20140620	0	0	0	7.9	6.4
2014-06-21	30288	20140621	0	0	0	7.8	6.2
2014-06-22	29417	20140622	0	0	0	7.9	6.4
2014-06-23	32580	20140623	0	0	0	8.1	6.5
2014-06-24	35897	20140624	0	0	0	8.1	6.8
2014-06-25	34340	20140625	0.08	0	0	8.5	7
2014-06-26	34846	20140626	0.07	0	0	8.5	7
2014-06-27	35823	20140627	0	0	0	8.3	6.7
2014-06-28	28507	20140628	0	0	0	8.7	6.6
2014-06-29	27986	20140629	0	0	0	8.3	6.8
2014-06-30	33597	20140630	0	0	0	8.4	6.9
2014-07-01	34854	20140701	0	0	0	8.9	7.2
2014-07-02	26582	20140702	0.96	0	0	9.1	7.2
2014-07-03	27587	20140703	1.78	0	0	8.7	6.9
2014-07-04	13612	20140704	0.14	0	0	7.4	6.5
2014-07-05	22913	20140705	0	0	0	8.1	6.3
2014-07-06	23822	20140706	0	0	0	8.4	6.6
2014-07-07	31863	20140707	0.04	0	0	9	7.2
2014-07-08	32713	20140708	0.39	0	0	9.1	7.1
2014-07-09	34426	20140709	0.09	0	0	8.8	7.1
2014-07-10	36288	20140710	0	0	0	8.3	7.2
2014-07-11	35000	20140711	0	0	0	8.6	7.1
2014-07-12	28718	20140712	0	0	0	8.5	7.1
2014-07-13	24869	20140713	0.03	0	0	8.3	7.2
2014-07-14	25825	20140714	0.46	0	0	8.4	7.2
2014-07-15	22963	20140715	1.3	0	0	8.6	7.2
2014-07-16	35391	20140716	0	0	0	8.1	6.8
2014-07-17	38619	20140717	0	0	0	8.1	6.7
2014-07-18	36105	20140718	0	0	0	8.1	6.4
2014-07-19	29291	20140719	0	0	0	7.6	6.8
2014-07-20	30296	20140720	0	0	0	8	6.6
2014-07-21	35670	20140721	0	0	0	8.5	6.7
2014-07-22	36886	20140722	0	0	0	8.6	7.1
2014-07-23	34173	20140723	0.19	0	0	8.8	7.2
2014-07-24	36693	20140724	0	0	0	8	7
2014-07-25	36384	20140725	0	0	0	8.2	6.6
2014-07-26	27179	20140726	0	0	0	8.1	6.9
2014-07-27	27004	20140727	0.02	0	0	8.5	7.1
2014-07-28	33189	20140728	0.19	0	0	8.2	6.8
2014-07-29	37092	20140729	0	0	0	7.6	6.4
2014-07-30	37377	20140730	0	0	0	8	6.3
2014-07-31	35458	20140731	0	0	0	8.2	6.8
2014-08-01	32654	20140801	0	0	0	8.4	7.1
2014-08-02	26784	20140802	0.41	0	0	7.4	6.3
2014-08-03	25276	20140803	0.07	0	0	7.6	6.6
2014-08-04	33822	20140804	0	0	0	8.4	7
2014-08-05	34392	20140805	0	0	0	9	7.1
2014-08-06	36336	20140806	0	0	0	8.3	7
2014-08-07	36362	20140807	0	0	0	8.3	6.6
2014-08-08	34073	20140808	0	0	0	8.3	6.5
2014-08-09	31636	20140809	0	0	0	8.7	6.6
2014-08-10	26749	20140810	0	0	0	8.8	6.8
2014-08-11	33664	20140811	0	0	0	8.7	7.1
2014-08-12	26261	20140812	0.19	0	0	7.9	7
2014-08-13	27977	20140813	0.53	0	0	8.2	6.8
2014-08-14	35154	20140814	0	0	0	7.7	6.3
2014-08-15	32480	20140815	0	0	0	7.3	6.1
2014-08-16	32017	20140816	0	0	0	7.8	6.3
2014-08-17	27417	20140817	0.01	0	0	8.2	6.6
2014-08-18	34339	20140818	0	0	0	8.1	6.3
2014-08-19	35367	20140819	0	0	0	8.3	6.3
2014-08-20	35532	20140820	0	0	0	8.4	7
2014-08-21	33804	20140821	0.35	0	0	8.3	6.5
2014-08-22	30406	20140822	0.06	0	0	7.9	6.5
2014-08-23	26429	20140823	0.01	0	0	7.7	6.7
2014-08-24	27493	20140824	0	0	0	8	6.4
2014-08-25	32892	20140825	0	0	0	8.8	6.4
2014-08-26	34519	20140826	0	0	0	8.9	7
2014-08-27	33721	20140827	0	0	0	9	7
2014-08-28	33927	20140828	0	0	0	8.2	6.6
2014-08-29	31264	20140829	0	0	0	8	6.1
2014-08-30	22689	20140830	0	0	0	8	6.5
2014-08-31	18053	20140831	0.62	0	0	9	7.3
2014-09-01	20725	20140901	0	0	0	8.8	7.5
2014-09-02	29657	20140902	0	0	0	9.2	7.7
2014-09-03	34843	20140903	0	0	0	8.6	7.2
2014-09-04	36392	20140904	0	0	0	8.7	6.9
2014-09-05	35579	20140905	0	0	0	8.7	7.2
2014-09-06	26808	20140906	0.11	0	0	9.1	6.7
2014-09-07	28901	20140907	0	0	0	8.1	6.5
2014-09-08	33979	20140908	0	0	0	7.5	6.5
2014-09-09	34166	20140909	0	0	0	7.3	6.3
2014-09-10	37418	20140910	0	0	0	8	6.3
2014-09-11	36668	20140911	0	0	0	8.3	6.9
2014-09-12	38481	20140912	0	0	0	7.8	6.2
2014-09-13	19499	20140913	0.26	0	0	6.9	5.8
2014-09-14	27187	20140914	0	0	0	7.1	5.3
2014-09-15	34258	20140915	0	0	0	7.1	5.5
2014-09-16	25579	20140916	0.37	0	0	7	5.8
2014-09-17	36791	20140917	0	0	0	7.3	5.5
2014-09-18	37300	20140918	0	0	0	7.6	5.7
2014-09-19	35674	20140919	0	0	0	6.6	5.4
2014-09-20	29999	20140920	0	0	0	7.5	5.7
2014-09-21	26650	20140921	0.15	0	0	7.5	6.7
2014-09-22	32937	20140922	0	0	0	7.1	5.5
2014-09-23	35599	20140923	0	0	0	7.1	5.2
2014-09-24	35838	20140924	0	0	0	7.1	5.8
2014-09-25	17165	20140925	0.32	0	0	6.4	5.7
2014-09-26	34500	20140926	0	0	0	7.7	5.8
2014-09-27	30463	20140927	0	0	0	8.3	6
2014-09-28	29491	20140928	0	0	0	8.4	6.4
2014-09-29	32385	20140929	0	0	0	7.9	6.7
2014-09-30	34901	20140930	0	0	0	7.1	6.2
2014-10-01	28053	20141001	0.02	0	0	6.5	6.1
2014-10-02	34154	20141002	0	0	0	7	6.1
2014-10-03	35966	20141003	0	0	0	7.1	5.6
2014-10-04	14173	20141004	1.18	0	0	6.9	5.2
2014-10-05	23578	20141005	0	0	0	6.1	4.6
2014-10-06	30628	20141006	0	0	0	6.9	5
2014-10-07	32756	20141007	0.06	0	0	7.1	6.3
2014-10-08	33437	20141008	0.04	0	0	7.3	6.2
2014-10-09	32322	20141009	0	0	0	6.8	5.5
2014-10-10	31616	20141010	0	0	0	6.4	5.2
2014-10-11	13807	20141011	0.33	0	0	6	5
2014-10-12	23079	20141012	0	0	0	6.3	4.8
2014-10-13	23668	20141013	0.05	0	0	6.5	5.2
2014-10-14	30252	20141014	0	0	0	7.6	6.3
2014-10-15	30477	20141015	0.69	0	0	7.7	6.9
2014-10-16	24829	20141016	1.11	0	0	7.1	6.1
2014-10-17	34755	20141017	0	0	0	7.1	5.9
2014-10-18	25854	20141018	0	0	0	7	5.6
2014-10-19	19646	20141019	0	0	0	5.6	4.4
2014-10-20	26440	20141020	0	0	0	6	4.2
2014-10-21	31087	20141021	0.11	0	0	6.7	5.5
2014-10-22	12023	20141022	1.51	0	0	5.8	5
2014-10-23	11194	20141023	0.61	0	0	5.3	5
2014-10-24	29606	20141024	0	0	0	6.3	5.1
2014-10-25	25232	20141025	0.01	0	0	6.7	5
2014-10-26	21488	20141026	0	0	0	6.3	5.3
2014-10-27	27532	20141027	0	0	0	6.3	4.8
2014-10-28	32313	20141028	0	0	0	7.2	5.3
2014-10-29	30651	20141029	0	0	0	7.2	5.1
2014-10-30	31079	20141030	0	0	0	5.9	4.7
2014-10-31	28843	20141031	0.05	0	0	5.5	4.5
2014-11-01	7484	20141101	0.35	0	0	4.7	4.2
2014-11-02	12990	20141102	0	0	0	4.8	4.1
2014-11-03	24019	20141103	0	0	0	6.1	3.9
2014-11-04	30181	20141104	0	0	0	6.8	5.3
2014-11-05	30766	20141105	0	0	0	6.4	5.6
2014-11-06	13949	20141106	0.37	0	0	5.7	4.8
2014-11-07	25648	20141107	0	0	0	5.3	4
2014-11-08	18211	20141108	0	0	0	4.8	3.6
2014-11-09	18128	20141109	0	0	0	5.7	4.6
2014-11-10	25573	20141110	0	0	0	6.1	4.4
2014-11-11	28787	20141111	0	0	0	6.4	4.9
2014-11-12	28164	20141112	0	0	0	6.5	4.7
2014-11-13	23972	20141113	0.2	0	0	4.8	3.6
2014-11-14	19709	20141114	0.06	0	0	4.2	3.5
2014-11-15	14856	20141115	0	0	0	4.2	3.3
2014-11-16	13445	20141116	0.03	0	0	4.5	3.5
2014-11-17	7346	20141117	1.54	0	0	5.2	4
2014-11-18	17010	20141118	0	0	0	4.5	2.4
2014-11-19	16270	20141119	0	0	0	3.6	2.2
2014-11-20	19987	20141120	0	0	0	4.5	3.1
2014-11-21	18837	20141121	0	0	0	3.7	2.8
2014-11-22	13154	20141122	0	0	0	4.4	2.8
2014-11-23	15218	20141123	0	0	0	5.7	4.3
2014-11-24	20794	20141124	0.7	0	0	6.9	5.3
2014-11-25	26064	20141125	0	0	0	6.8	5.1
2014-11-26	7479	20141126	1.24	0	0.2	5.1	3.4
2014-11-27	3757	20141127	0.02	0	0	3.8	3.4
2014-11-28	7839	20141128	0	0	0	3.7	2.9
2014-11-29	7869	20141129	0	0	0	4.5	2.7
2014-11-30	11772	20141130	0	0	0	5.5	4.5
2014-12-01	18569	20141201	0.09	0	0	6.5	4.2
2014-12-02	15175	20141202	0.08	0	0	4.3	3.5
2014-12-03	12177	20141203	0.06	0	0	4.6	4.1
2014-12-04	21055	20141204	0	0	0	4.5	3.7
2014-12-05	18920	20141205	0.51	0	0	4.4	3.4
2014-12-06	4441	20141206	1.22	0	0	5	3.9
2014-12-07	9319	20141207	0.04	0	0	4.2	3
2014-12-08	14283	20141208	0	0	0	3.7	2.4
2014-12-09	6912	20141209	2.54	0	0	4.2	3.6
2014-12-10	11098	20141210	0.08	0	1	4	3.2
2014-12-11	16413	20141211	0.01	1.2	0	3.8	3.1
2014-12-12	18850	20141212	0	0	0	3.8	3.2
2014-12-13	13173	20141213	0	0	0	4.4	3.4
2014-12-14	12096	20141214	0	0	0	4.6	3.8
2014-12-15	17761	20141215	0	0	0	4.8	3.7
2014-12-16	18941	20141216	0.2	0	0	4.9	3.8
2014-12-17	18196	20141217	0.02	0	0	5.4	4.2
2014-12-18	19206	20141218	0	0	0	4.2	3.7
2014-12-19	18256	20141219	0	0	0	3.8	3.1
2014-12-20	10421	20141220	0	0	0	3.3	3
2014-12-21	8854	20141221	0	0	0	3.6	3.1
2014-12-22	13120	20141222	0.04	0	0	4.4	3.5
2014-12-23	9849	20141223	0.16	0	0	4.6	4.3
2014-12-24	5049	20141224	0.8	0	0	5.8	4.4
2014-12-25	4620	20141225	0.09	0	0	6.2	4.4
2014-12-26	9360	20141226	0	0	0	5	4
2014-12-27	10070	20141227	0	0	0	5.5	4.4
2014-12-28	8055	20141228	0.1	0	0	5.4	4.3
2014-12-29	13055	20141229	0	0	0	4.4	3.4
2014-12-30	12483	20141230	0	0	0	3.4	2.8
2014-12-31	10493	20141231	0	0	0	3.2	2.7
